event,round,player,playerId,teamId,hole,shot,shotDistance_yds,distanceToPin_yds,shotDistance_m,distanceToPin_m,lieAfterShot,lieAfterShotCode,lieBeforeShot,lieBeforeShotCode,ballHoled,eventType,holeScore,timestamp,isProvisional,isBallDrop,x,z,seqNum,commentary,source
amgen-irish-open-2026,1,Laurie Canter,840,45,1,1,330.3,175.1,302.02,160.14,Rough,OST,,,False,DetailedLie,,2026-09-10T12:11:28.000Z,False,False,466347.30935953493,5844395.224345871,6,"Canter (T100) finds a fairway bunker with his opening drive, leaving 175 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,1,2,101.4,73.8,92.7,67.53,Fairway,OFW,,,False,DetailedLie,,2026-09-10T12:14:52.000Z,False,False,466403.1733944699,5844469.253620114,10,"Canter's approach from 175 yards finds the fairway but leaves 74 yards to the hole, losing 0.44 strokes *approach*.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,1,3,77.6,4.3,70.95,3.9,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-10T12:16:31.000Z,False,False,466451.17410504865,5844521.5566476565,14,"Canter's approach from 74 yards settles on the green, leaving a 13-footer for par on his opening hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,1,4,4.4,0.2,4.04,0.2,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T12:20:17.000Z,False,False,466447.40704631526,5844520.072152682,18,"Canter missed a 13-footer for par on his opening hole, leaving eight inches for bogey.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,1,5,0.2,,0.2,,,,,,True,BallHoled,Bogey,2026-09-10T12:20:19.000Z,False,False,466447.4937313835,5844520.249952211,21,Canter taps in from eight inches to complete a bogey on his opening hole.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,2,1,277.8,166.5,253.98,152.25,Fairway,OFW,,,False,DetailedLie,,2026-09-10T12:26:45.000Z,False,False,466622.38824366004,5844527.650188635,27,"Canter (T65) finds the fairway with a 277-yard drive, leaving 166 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,2,2,170.0,5.5,155.46,5.05,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-10T12:32:32.000Z,False,False,466755.93412539235,5844607.630663189,31,"Canter finds the green from 167 yards, leaving a 17-foot putt for birdie on the second.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,2,3,5.4,0.2,4.9,0.15,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T12:34:43.000Z,False,False,466755.18244980485,5844602.787260995,35,"Canter missed a 17-footer for birdie, leaving six inches for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,2,4,0.2,,0.15,,,,,,True,BallHoled,Par,2026-09-10T12:34:49.000Z,False,False,466755.1343622173,5844602.642771302,38,Canter taps in from six inches to save par on the second.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,3,1,252.2,76.0,230.62,69.47,Fairway,OFW,,,False,DetailedLie,,2026-09-10T13:42:34.000Z,False,False,466776.2045387878,5844870.516328109,44,"Canter (T66) finds the fairway with a 252-yard drive, leaving 75 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,3,2,70.6,5.5,64.55,5.06,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-10T13:45:22.000Z,False,False,466749.1671909952,5844929.126322937,48,Canter's approach from 76 yards settles 17 feet from the hole on the third.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,3,3,6.0,0.5,5.49,0.46,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T13:47:37.000Z,False,False,466745.85371840687,5844933.512698115,52,"Canter missed a 17-footer for birdie, leaving two feet for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,3,4,0.5,,0.46,,,,,,True,BallHoled,Par,2026-09-10T13:47:41.000Z,False,False,466746.01515489153,5844933.082850687,55,Canter holes a two-footer for par on the third.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,4,1,341.2,246.0,311.99,224.93,Rough,ORO,,,False,DetailedLie,,2026-09-10T14:14:20.000Z,False,False,466938.977704791,5845204.319200932,61,"Canter (T71) finds the rough with a 341-yard drive, leaving 245 yards to the hole on the par-five fourth.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,4,2,227.3,20.7,207.85,18.89,Fringe,OCO,,,False,DetailedLie,,2026-09-10T13:23:38.000Z,False,False,467089.19660024013,5845348.214681913,65,"Canter's approach from the rough finds the fringe, leaving 21 yards to the hole on the par-five fourth.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,4,3,22.0,1.6,20.11,1.45,Green,OGR,Fringe,OCO,False,DetailedLie,,2026-09-10T13:29:33.000Z,False,False,467108.6520961124,5845353.453592004,69,"Canter chips from the fringe to five feet, leaving a putt for birdie on the par five.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,4,4,1.6,,1.45,,,,,,True,BallHoled,Birdie,2026-09-10T14:32:43.000Z,False,False,467107.258158931,5845353.871980896,72,Canter rolls in a five-footer for birdie on the par-five fourth.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,5,1,245.9,144.6,224.83,132.19,Fairway,OFW,,,False,DetailedLie,,2026-09-10T13:39:15.000Z,False,False,466932.58320247737,5845302.900158967,129,"Canter (T46) finds the fairway with a 245-yard drive, leaving 144 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,5,2,121.6,23.7,111.22,21.67,Fringe,OCO,,,False,DetailedLie,,2026-09-10T13:46:22.000Z,False,False,466824.6745664453,5845266.870936409,137,"Canter's approach from the fairway misses the green, settling in the fringe 71 feet from the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,5,3,25.1,1.8,22.97,1.69,Green,OGR,Fringe,OCO,False,DetailedLie,,2026-09-10T13:50:48.000Z,False,False,466811.38273253734,5845248.126987392,140,"Canter chips from the fringe to six feet, leaving a putt for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,5,4,1.8,,1.69,,,,,,True,BallHoled,Par,2026-09-10T14:53:59.000Z,False,False,466811.2968294185,5845249.809736903,145,Canter rolls in a six-footer to save par on the fifth.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,6,1,312.3,80.7,285.56,73.78,Native Area,ONA,,,False,DetailedLie,,2026-09-10T14:17:42.000Z,True,False,466886.4326764786,5845569.866208205,179,"Canter (T42) finds the native area with a 312-yard drive, leaving 80 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,6,1,356.6,14.4,326.07,13.16,,OGS,,,False,DetailedLie,,2026-09-10T14:17:42.000Z,True,False,466843.87596851896,5845625.08505362,184,"Canter (T42) finds the native area with a 312-yard drive, leaving 80 yards to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,6,3,91.2,13.0,83.36,11.86,Green,OGR,,,False,DetailedLie,,2026-09-10T14:27:22.000Z,False,False,466854.53456382034,5845646.877406047,190,,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,6,4,2.7,0.8,2.5,0.73,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-10T14:27:53.000Z,False,False,466852.93195829843,5845635.009390154,195,"Canter missed a 39-footer for par, leaving a two-foot putt for bogey.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,6,5,0.8,,0.73,,,,,,True,BallHoled,Bogey,2026-09-10T14:28:24.000Z,False,False,466852.23900487716,5845635.249071994,198,Canter taps in from two feet to complete a bogey on the sixth.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,7,1,215.1,15.0,196.65,13.71,Rough,ORO,,,False,DetailedLie,,2026-09-10T14:34:47.000Z,False,False,466946.22586815833,5845780.548061341,204,"Canter (T72) misses the green from 227 yards, finding the rough with 15 yards remaining to the hole.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,7,2,14.0,1.2,12.85,1.07,Green,OGR,Rough,ORO,False,DetailedLie,,2026-09-10T14:36:48.000Z,False,False,466940.7447490238,5845792.165951901,208,"Canter chips from the rough to four feet, leaving a putt for par.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,7,3,1.2,,1.07,,,,,,True,BallHoled,Par,2026-09-10T15:39:52.000Z,False,False,466939.7891502221,5845792.658904053,211,Canter holes a four-footer to save par on the seventh.,feed
amgen-irish-open-2026,1,Laurie Canter,840,45,8,1,297.8,278.5,272.29,254.62,Intermediate Rough,OIR,,,False,DetailedLie,,2026-09-10T15:01:31.000Z,False,False,466923.4658297447,5846130.321073699,256,"Canter (T59) finds the intermediate rough with a 297-yard drive, leaving 278 yards to the hole on the par-five eighth.",feed
amgen-irish-open-2026,1,Laurie Canter,840,45,8,2,246.5,39.9,225.41,36.49,Rough,OST,,,False,DetailedLie,,2026-09-10T15:12:55.000Z,False,False,466776.8539520474,5846301.711470036,261,"Canter's approach from the intermediate rough finds a fairway bunker, leaving 40 yards to the hole.",feed
